,linkId,Speed,DataAsOf
0,4616337,6.21,2021-01-29 14:18:12
1,4616323,1.86,2021-01-29 14:18:12
2,4616279,0.0,1978-01-01 00:00:00
3,4616280,0.0,1978-01-01 00:00:00
4,4616281,0.0,2021-01-29 14:18:12
5,4456502,36.66,2021-01-29 14:18:03
6,4616344,0.0,1978-01-01 00:00:00
7,4616345,0.0,1978-01-01 00:00:00
8,4456501,39.14,2021-01-29 14:18:03
9,4616247,42.87,2021-01-29 14:18:12
10,4616246,42.87,2021-01-29 14:18:12
11,4616260,28.58,2021-01-29 14:18:12
12,4456479,34.17,2021-01-29 14:18:03
13,4456478,32.93,2021-01-29 14:18:03
14,4616261,28.58,2021-01-29 14:18:12
15,4616342,27.34,2021-01-29 14:18:12
16,4616257,22.99,2021-01-29 14:18:04
17,4616339,36.03,2021-01-29 14:18:04
18,4616340,32.31,2021-01-29 14:18:04
19,4616235,34.79,2021-01-29 14:18:12
20,4616229,13.67,2021-01-29 14:18:04
21,4616232,39.14,2021-01-29 14:18:12
22,4616271,13.04,2021-01-29 14:18:04
23,4616252,53.43,2021-01-29 14:18:12
24,4616266,38.52,2021-01-29 14:18:12
25,4456497,44.11,2021-01-29 14:18:03
26,4616305,53.43,2021-01-29 14:18:12
27,4616312,50.95,2021-01-29 14:18:04
28,4456496,45.36,2021-01-29 14:18:03
29,4616355,39.14,2021-01-29 14:18:04
30,4616356,19.88,2021-01-29 14:18:04
31,4616357,18.64,2021-01-29 14:18:12
32,4616310,26.71,2021-01-29 14:18:04
33,4616309,25.47,2021-01-29 14:18:04
34,4616297,17.39,2021-01-29 14:18:12
35,4616253,38.52,2021-01-29 14:18:12
36,4616267,3.72,2021-01-29 14:18:12
37,4620315,0.0,2021-01-29 14:18:03
38,4620332,6.21,2021-01-29 14:18:03
39,4620331,4.34,2021-01-29 14:18:03
40,4620310,0.0,2021-01-29 14:18:03
41,4616351,44.11,2021-01-29 14:18:12
42,4616325,0.0,2021-01-29 14:18:12
43,4456483,48.46,2021-01-29 14:18:03
44,4616320,54.05,2021-01-29 14:18:04
45,4362247,53.43,2021-01-29 14:18:03
46,4362252,50.95,2021-01-29 14:18:03
47,4616352,44.11,2021-01-29 14:18:12
48,4616350,44.11,2021-01-29 14:18:12
49,4362250,0.0,2021-01-29 14:18:03
50,4362244,51.57,2021-01-29 14:18:03
51,4456450,37.28,2021-01-29 14:18:03
52,4616329,39.76,2021-01-29 14:18:04
53,4616328,27.34,2021-01-29 14:18:12
54,4616333,19.26,2021-01-29 14:18:12
55,4616332,24.23,2021-01-29 14:18:04
